"?필수?교양?교과목(광운인되기,영어)?강의시간표",,,,,,,,,
2024학년도 2학기,,,,,,,,,
7060-1-7408-02,C프로그래밍응용,전자(E2),,교필,3,3,조수영,"화2,목1",
7060-1-7408-03,C프로그래밍응용,전자(E3),,교필,3,3,서창옥,"화3,목4",
7060-1-7408-04,C프로그래밍응용,전자(E4),,교필,3,3,서창옥,"화4,목3",
7070-1-7408-01,C프로그래밍응용,전통(E5),,교필,3,3,박상준,화3,"영어50,원격수업50이상"
7070-1-7408-02,C프로그래밍응용,전통(E6),,교필,3,3,박상준,목3,"영어50,원격수업50이상"
7420-1-7408-01,C프로그래밍응용,전융(E7),,교필,3,3,고철영,"월1,수2",
7420-1-7408-02,C프로그래밍응용,전융(E8),,교필,3,3,고철영,"월2,수1",
7320-1-7408-01,C프로그래밍응용,전기(J1),,교필,3,3,이건영,"금3,4",
7320-1-7408-02,C프로그래밍응용,전기(J2),,교필,3,3,이도환,"월5,수6",
7340-1-7408-01,C프로그래밍응용,전재(J3),,교필,3,3,황치곤,"월5,수6",
7340-1-7408-02,C프로그래밍응용,전재(J4),,교필,3,3,노현아,"금1,2",
7460-1-7408-01,C프로그래밍응용,반도체(T1),,교필,3,3,서창옥,"월6,수5",
7460-1-7408-02,C프로그래밍응용,반도체(T2),,교필,3,3,이찬수,"금5,6",
I050-1-7408-01,C프로그래밍응용,로봇(J5),,교필,3,3,고철영,"월3,수4",
I050-1-7408-02,C프로그래밍응용,로봇(J6),,교필,3,3,박재철,"월4,수3",
I050-1-7408-03,C프로그래밍응용,로봇(J7),,교필,3,3,남기현,"월6,수5",
I050-1-7408-04,C프로그래밍응용,로봇(J8),,교필,3,3,조영진,"화2,목1",
I020-1-4432-01,인공지능과컴퓨팅사고,컴정(C1~C3),,교필,3,3,유지현,"월3,수4",
I030-1-4432-01,인공지능과컴퓨팅사고,소프트(C4),,교필,3,3,이준혁,"월4,수3",
I030-1-4432-02,인공지능과컴퓨팅사고,소프트(C5),,교필,3,3,,"월5,수6",
I030-1-4432-03,인공지능과컴퓨팅사고,소프트(C6),,교필,3,3,김우생,"화1,목2",
