,7060-1-7408-02,조수영,,,39,,,C프로그래밍응용
,7060-1-7408-03,서창옥,,40,,,,C프로그래밍응용
,7060-1-7408-04,서창옥,,,40,,,C프로그래밍응용
,7070-1-7408-01,박상준,,,,,,C프로그래밍응용
,7070-1-7408-02,박상준,,,,,,C프로그래밍응용
,7420-1-7408-01,고철영,,,40,,,C프로그래밍응용
,7420-1-7408-02,고철영,,,38,,,C프로그래밍응용
,7320-1-7408-01,이건영,,40,33,,33,C프로그래밍응용
,7320-1-7408-02,이도환,,,,,,C프로그래밍응용
,7340-1-7408-01,황치곤,,39,39,,40,C프로그래밍응용
,7340-1-7408-02,노현아,,,,,,C프로그래밍응용
,7460-1-7408-01,서창옥,,40,39,,,C프로그래밍응용
,7460-1-7408-02,이찬수,,39,39,,33,C프로그래밍응용
,I050-1-7408-01,고철영,,,40,,,C프로그래밍응용
,I050-1-7408-02,박재철,,,,,,C프로그래밍응용
,I050-1-7408-03,남기현,,40,40,,40,C프로그래밍응용
,I050-1-7408-04,조영진,,,,,,C프로그래밍응용
,I020-1-4432-01,유지현,,,39,,,인공지능과컴퓨팅사고
,I030-1-4432-01,이준혁,,,30,,,인공지능과컴퓨팅사고
,I030-1-4432-02,,,,,,,인공지능과컴퓨팅사고
,I030-1-4432-03,김우생,,,,,,인공지능과컴퓨팅사고
,I040-1-4432-01,,,,,,,인공지능과컴퓨팅사고
,I040-1-4432-02,,,,,,,인공지능과컴퓨팅사고
,1000-1-8610-01,정태원,,,,,,프로그래밍기초
,1000-1-8610-02,이슬기,,39,40,,38,프로그래밍기초
,1000-1-8610-03,윤대열,,40,37,,,프로그래밍기초
,1000-1-8610-04,김지명,,32,40,,26,프로그래밍기초
,1000-1-8610-05,염귀덕,,39,31,,,프로그래밍기초
,6000-1-8610-01,문만기,,30,24,,31,프로그래밍기초
,6000-1-8610-02,정진범,,33,38,,,프로그래밍기초
,6000-1-8610-03,정진범,,33,35,,,프로그래밍기초
,6000-1-8610-04,김수영,,,,,,프로그래밍기초
,6000-1-8610-05,김태현,,,38,,,프로그래밍기초
,3000-1-8610-01,스레스터바누,,,,,,프로그래밍기초
,3000-1-8610-02,스레스터바누,,,,,,프로그래밍기초
,3000-1-8610-03,이롤랜드,,,22,,,프로그래밍기초
,3000-1-8610-04,이롤랜드,,39,34,,39,프로그래밍기초
,3000-1-8610-05,이롤랜드,,34,27,,33,프로그래밍기초
,3000-1-8610-06,정태원,,,31,,,프로그래밍기초
,3000-1-8610-07,김덕은,,,,,,프로그래밍기초
,F000-1-8610-01,박세영,,40,40,,30,프로그래밍기초
,F000-1-8610-02,장경석,,,,,,프로그래밍기초
,F000-1-8610-03,박세영,,40,40,,40,프로그래밍기초
,F000-1-8610-04,박세영,,40,40,,40,프로그래밍기초
,F000-1-8610-05,박세영,,40,40,,30,프로그래밍기초
,5000-1-8610-01,정진범,,33,,,,프로그래밍기초
,5000-1-8610-02,조수영,,41,32,,33,프로그래밍기초
,5000-1-8610-03,최상근,,40,26,,34,프로그래밍기초
,5000-1-8610-04,정진범,,33,40,,,프로그래밍기초
,5000-1-8610-05,김상곤,,,,,,프로그래밍기초
,0000-1-4929-01,서상구,,,29,,,경영과컴퓨터
,0000-1-3403-01,정문호,,20,23,,21,고급프로그래밍
,0000-2-3679-01,문석재,,13,,,14,자바프로그래밍
,0000-1-2339-01,김수환,,,40,,,고급C프로그래밍
,0000-1-2339-02,김수환,,,40,,,고급C프로그래밍
,0000-1-5909-01,유미란,,30,39,,,공학과디자인
,0000-1-5909-02,엄은영,,,34,,,공학과디자인
