Unnamed: 0,학정번호,과목명,분반,수강가능한 학과,다전공생 수강불가,학년,연계,이수,학점,시수,담당교수,강의시간,강의유형,외국인재학생,국내재학생,선수과목,전공 인정 학과 ,참빛인재대학,체육특기자,기타
51,1000-1-3095-05,융합적사고와글쓰기,"공과대학 공통 (A1~A2,K1~K3)","A1,A2,K1,K2,K3",,,Null,교필,3,3,김주상,"(2:4),(4:3)",Null,,,,,,,
52,1000-1-3095-06,융합적사고와글쓰기,"공과대학 공통 (A1~A2,K1~K3)","A1,A2,K1,K2,K3",,,Null,교필,3,3,이은경,"(5:1),(5:2)",Null,,,,,,,
53,3000-1-3095-01,융합적사고와글쓰기,"인문사회 과학대학 공통 (R1~R5,M1~M2)","R1,R2,R3,R4,R5,M1,M2",,,Null,교필,3,3,김승래,"(1:1),(3:2)",Null,,,,,,,
54,3000-1-3095-02,융합적사고와글쓰기,"인문사회 과학대학 공통 (R1~R5,M1~M2)","R1,R2,R3,R4,R5,M1,M2",,,Null,교필,3,3,안웅선,"(1:2),(3:1)",Null,,,,,,,
55,3000-1-3095-03,융합적사고와글쓰기,"인문사회 과학대학 공통 (R1~R5,M1~M2)","R1,R2,R3,R4,R5,M1,M2",,,Null,교필,3,3,김민지,"(1:3),(3:4)",Null,,,,,,,
56,3000-1-3095-04,융합적사고와글쓰기,"인문사회 과학대학 공통 (R1~R5,M1~M2)","R1,R2,R3,R4,R5,M1,M2",,,Null,교필,3,3,전도현,"(1:4),(3:3)",Null,,,,,,,
57,3000-1-3095-05,융합적사고와글쓰기,"인문사회 과학대학 공통 (R1~R5,M1~M2)","R1,R2,R3,R4,R5,M1,M2",,,Null,교필,3,3,유승호,"(1:5),(3:6)",Null,,,,,,,
58,3000-1-3095-06,융합적사고와글쓰기,"인문사회 과학대학 공통 (R1~R5,M1~M2)","R1,R2,R3,R4,R5,M1,M2",,,Null,교필,3,3,문장원,"(1:6),(3:5)",Null,,,,,,,
59,3000-1-3095-07,융합적사고와글쓰기,"인문사회 과학대학 공통 (R1~R5,M1~M2)","R1,R2,R3,R4,R5,M1,M2",,,Null,교필,3,3,Null,"(2:1),(4:2)",Null,,,,,,,
60,3000-1-3095-08,융합적사고와글쓰기,"인문사회 과학대학 공통 (R1~R5,M1~M2)","R1,R2,R3,R4,R5,M1,M2",,,Null,교필,3,3,천유철,"(5:5),(5:6)",Null,,,,,,,
61,5000-1-3095-01,융합적사고와글쓰기,경영대학 공통 (B1~B6),"B1,B2,B3,B4,B5,B6",,,Null,교필,3,3,이란,"(1:1),(3:2)",Null,,,,,,,
